species,n_tot_det,mean_tot_det,sd_tot_det,n_max_water,mean_max_water,sd_ext_diam,n_ext_diam,mean_ext_diam
Guzmania_sp,20,10.83789428779416,9.403747835068723,19,97.56315789473685,33.98271937985859,22,70.70454545454545
Vriesea_gladioliflora,14,3.5523571428571428,2.173351881564258,14,220.71428571428572,0.2525169997541456,14,0.8257142857142857
Vriesea_kupperiana,2,10.063,0.41719300090006295,2,700,0.23334523779156066,2,0.685
Vriesea_sanguinolenta,14,7.88074210071739,8.93461748395825,14,222.35714285714286,32.242604569894,14,53.26428571428571
Vriesea_sp,12,10.619737688381424,7.855987796156874,11,210.0909090909091,24.36729676256994,12,57.416666666666664
